sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,drop_ratio,anomaly_type
2025-04-11,	-, webber naturals伟博胶原蛋白与神经酰胺生物活性胶原肽120片z-抗皱胶原蛋白+神经酰胺120粒*1,1,29.571428571428573,0.033816425120772944,SALES_DROP
2025-04-09,,伟博Osteo氨糖软骨素MSM 高端关节修护30粒（效期至25年7月）-1瓶装,2,58.857142857142854,0.03398058252427184,SALES_DROP
2025-04-09,	-,伟博Osteo氨糖软骨素MSM 高端关节修护30粒（效期至25年7月）-1瓶装,2,58.714285714285715,0.0340632603406326,SALES_DROP
2025-04-09,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装;伟博天然进口辅酶Q10胶囊100mg 成人心脏活力60粒（效期至26年6月）-3瓶装,2,58.57142857142857,0.03414634146341464,SALES_DROP
2025-11-18,7.146569951686672e+18,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒D-默认-(DYWEB625273090086),1,28.428571428571427,0.035175879396984924,SALES_DROP
2025-09-26,7.124611154185519e+18,WEBBER NATURALS500mg Omega-3深海鱼油添加D3青少年鱼油100粒/瓶-默认-(DYWEB625273090291),1,28.428571428571427,0.035175879396984924,SALES_DROP
2025-09-26,	7124611154185519400,WEBBER NATURALS500mg Omega-3深海鱼油添加D3青少年鱼油100粒/瓶-默认-(DYWEB625273090291),1,28.428571428571427,0.035175879396984924,SALES_DROP
2025-09-19,7.124611154185519e+18,WEBBER NATURALS500mg Omega-3深海鱼油添加D3青少年鱼油100粒/瓶-默认-(DYWEB625273090291),1,28.285714285714285,0.03535353535353535,SALES_DROP
2025-09-19,	7124611154185519400,WEBBER NATURALS500mg Omega-3深海鱼油添加D3青少年鱼油100粒/瓶-默认-(DYWEB625273090291),1,28.285714285714285,0.03535353535353535,SALES_DROP
2025-04-10,,【官方直播】加拿大伟博Webber鱼油500mgOmega3+D3青少年 100粒/瓶-3瓶装,1,27.857142857142858,0.035897435897435895,SALES_DROP
2025-10-12,	-,伟博天然进口VB番茄红素锌硒钙水果多酚55+男士全营养素 30粒z-1瓶装-(625273079968*1),1,26.428571428571427,0.03783783783783784,SALES_DROP
2025-10-12,	-,【3瓶装】伟博精粹金CO2提纯1100mg4倍含量omega3成人心脑鱼油120粒-三瓶装（1年量）【送两瓶价值149的60粒100mg辅酶Q10】-(625273090086*3+628347570705*2),1,26.428571428571427,0.03783783783783784,SALES_DROP
2025-10-12,	-,Webber Naturals伟博天然阳光小金盾小颗粒深海儿童鱼油+D3 60粒-2瓶装-(625273071634*2),1,26.428571428571427,0.03783783783783784,SALES_DROP
2025-04-13,	-,伟博Osteo氨糖软骨素MSM 高端关节修护30粒（效期至25年7月）-1瓶装,1,26.428571428571427,0.03783783783783784,SALES_DROP
2025-04-06,,【官方直播】加拿大伟博Webber鱼油500mgOmega3+D3青少年 100粒/瓶-2瓶装,1,26.285714285714285,0.03804347826086957,SALES_DROP
2025-04-06,,【官方直播】加拿大伟博Webber儿童鱼油高DHAOmega-3甜橙味120粒/瓶-2瓶装,1,26.285714285714285,0.03804347826086957,SALES_DROP
2025-10-24,7.146569951686672e+18,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒D-默认-(DYWEB625273090086),1,26.142857142857142,0.03825136612021858,SALES_DROP
2025-07-04,	7142731245833732390,WebberNaturals进口儿童鱼油欧米伽3高DHA爆浆深海鱼油120粒 1岁+-默认-(DYWEB625273090185),1,26.0,0.038461538461538464,SALES_DROP
2025-04-06,,【官方直播】加拿大伟博儿童鱼油高脑力DHA无腥可嚼软胶囊120粒/瓶-1瓶装,1,25.857142857142858,0.03867403314917127,SALES_DROP
2025-04-13,	-,【官方直播】加拿大伟博儿童鱼油高脑力DHA无腥可嚼软胶囊120粒/瓶-1瓶装,1,25.714285714285715,0.03888888888888889,SALES_DROP
2025-04-18,	7054785415521419523,Webber Naturals儿童鱼油150mg高DHA香橙味omega3脑黄金120粒6岁+-默认-(DYWEB625273033496),1,24.285714285714285,0.041176470588235294,SALES_DROP
2025-03-29,7.199138110997873e+18,Webber   Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-默认-(DYWEB625273032727),2,48.285714285714285,0.04142011834319527,SALES_DROP
2025-10-03,,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-两瓶装【8个月的量】-(625273090086*2),3,72.0,0.041666666666666664,SALES_DROP
2025-10-21,7.146569951686672e+18,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒D-默认-(DYWEB625273090086),1,24.0,0.041666666666666664,SALES_DROP
2025-08-29,	7146569951686672673,【董先生专属】WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086),1,23.571428571428573,0.04242424242424242,SALES_DROP
2025-11-08,7.146569951686672e+18,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒D-默认-(DYWEB625273090086),1,23.571428571428573,0.04242424242424242,SALES_DROP
2025-04-01,	7199138110997872936,Webber   Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-默认-(DYWEB625273032727),2,47.142857142857146,0.04242424242424242,SALES_DROP
2025-08-30,	7146569951686672673,【董先生专属】WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086),1,23.0,0.043478260869565216,SALES_DROP
2025-11-26,7.503765776017555e+18,WEBBER NATURALS茶氨酸加纳籽褪黑素香蜂草草本5重配方安睡宝10粒-默认-(DYWEB990312500179),1,22.857142857142858,0.04375,SALES_DROP
2025-04-07,,伟博Osteo氨糖软骨素MSM 高端关节修护30粒（效期至25年7月）-1瓶装,1,22.857142857142858,0.04375,SALES_DROP
2025-04-19,7.05478541552142e+18,Webber Naturals儿童鱼油150mg高DHA香橙味omega3脑黄金120粒6岁+-默认-(DYWEB625273033496),1,22.571428571428573,0.04430379746835443,SALES_DROP
2025-04-18,7.05478541552142e+18,Webber Naturals儿童鱼油150mg高DHA香橙味omega3脑黄金120粒6岁+-默认-(DYWEB625273033496),1,22.428571428571427,0.0445859872611465,SALES_DROP
2025-04-10,,伟博Osteo氨糖软骨素MSM 高端关节修护30粒（效期至25年7月）-1瓶装,2,44.857142857142854,0.0445859872611465,SALES_DROP
