sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,spike_ratio,severity,reason,anomaly_type
2025-11-05,	-,【官方直播】加拿大伟博儿童鱼油高脑力DHA无腥可嚼软胶囊120粒/瓶-1瓶装-(625273090185*1),9,2.5714285714285716,3.4999999999999996,Medium,Campaign-driven sales spike: Sales are 3.5x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-01-29,	7054785415521419523,伟博天然儿童鱼油150mg高DHA香橙味omega3IVO认证脑黄金120粒6岁+-默认-(DYWEB625273033496),14,4.571428571428571,3.0625,Medium,Campaign-driven sales spike: Sales are 3.06x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-27,	7054785415630438688,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-两瓶装【8个月的量】-(625273090086*2);WEBBER NATURALS高浓缩肉桂精华植物维稳糖值150mg呵护健康60粒-默认-(DYWEB625273034370),8,1.4285714285714286,5.6,High,Campaign-driven sales spike: Sales are 5.6x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-04,	7054785415630438688,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-两瓶装【8个月的量】-(625273090086*2);WEBBER NATURALS高浓缩肉桂精华植物维稳糖值150mg呵护健康60粒-默认-(DYWEB625273034370),10,3.2857142857142856,3.0434782608695654,Medium,Campaign-driven sales spike: Sales are 3.04x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-26,	7054785415630536992,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-两瓶装【8个月的量】-(625273090086*2);WEBBER NATURALS奶蓟草护肝片姜黄硫辛酸熬夜加班养护65粒护肝片-默认-(DYWEB625273034523),22,3.2857142857142856,6.695652173913044,High,Campaign-driven sales spike: Sales are 6.7x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-27,	7054785415630536992,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-两瓶装【8个月的量】-(625273090086*2);WEBBER NATURALS奶蓟草护肝片姜黄硫辛酸熬夜加班养护65粒护肝片-默认-(DYWEB625273034523),18,5.857142857142857,3.073170731707317,Medium,Campaign-driven sales spike: Sales are 3.07x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-30,	7054785415630536992,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-两瓶装【8个月的量】-(625273090086*2);WEBBER NATURALS奶蓟草护肝片姜黄硫辛酸熬夜加班养护65粒护肝片-默认-(DYWEB625273034523),24,4.0,6.0,High,Campaign-driven sales spike: Sales are 6.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-27,	7081192833746780446,WEBBER NATURALS心脏辅酶Q10天然发酵胶囊100mg呵护心肌健康60粒-默认-(DYWEB625273038552),8,1.4285714285714286,5.6,High,Campaign-driven sales spike: Sales are 5.6x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-01,	7081274294365618467,WEBBER NATURALS硫酸氨糖骨关节灵15种草本营养配方OSTEO 80粒/瓶-默认-(DYWEB625273033755),5,1.2857142857142858,3.8888888888888884,Medium,Campaign-driven sales spike: Sales are 3.89x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-01-30,	7086274688812433667, webber naturals伟博胶原蛋白与神经酰胺生物活性胶原肽120片/瓶-默认-(DYWEB625273036695),11,2.7142857142857144,4.052631578947368,Medium,Campaign-driven sales spike: Sales are 4.05x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-06,	7086274688812433667,WEBBER NATURALS伟博胶原蛋白与神经酰胺生物活性胶原肽120片/瓶-默认-(DYWEB625273036695),9,2.7142857142857144,3.31578947368421,Medium,Campaign-driven sales spike: Sales are 3.32x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-25,	7086274688812433667;7481121574674874687,WEBBER NATURALS伟博胶原蛋白与神经酰胺生物活性胶原肽120片/瓶-默认-(DYWEB625273036695);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),10,2.4285714285714284,4.11764705882353,Medium,Campaign-driven sales spike: Sales are 4.12x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-01-01,	7124611154185519400,Webber naturals伟博深海鱼油500mgOmega3+D3青少年补脑 100粒/瓶-默认-(DYWEB625273090291),33,9.142857142857142,3.609375,Medium,Campaign-driven sales spike: Sales are 3.61x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-25,	7146569951686672673,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086),49,9.714285714285714,5.044117647058824,High,Campaign-driven sales spike: Sales are 5.04x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-24,	7146569951686672673;7481121574674874687,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),60,17.0,3.5294117647058822,Medium,Campaign-driven sales spike: Sales are 3.53x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-25,	7146569951686672673;7481121574674874687,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),119,22.571428571428573,5.272151898734177,High,Campaign-driven sales spike: Sales are 5.27x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-03,	7146569951686672673;7481121574674874687,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),89,27.428571428571427,3.244791666666667,Medium,Campaign-driven sales spike: Sales are 3.24x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-24,	7220679778930622735,WEBBER NATURALS伟博加拿大伟博天然安睡宝 茶氨酸褪黑素45粒/瓶-默认-(DYWEB625273090338),5,1.4285714285714286,3.5,Medium,Campaign-driven sales spike: Sales are 3.5x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-02,	7295616354202386723,WEBBER NATURALS南非醉茄KSM66 7200mg降低皮质醇缓压促睡眠120粒-默认-(625273071597),6,2.0,3.0,Medium,Campaign-driven sales spike: Sales are 3.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-28,	7295616354202386723;7054785415630536992,WEBBER NATURALS南非醉茄KSM66 7200mg降低皮质醇缓压促睡眠120粒-默认-(625273071597);WEBBER NATURALS奶蓟草护肝片姜黄硫辛酸熬夜加班养护65粒护肝片-默认-(DYWEB625273034523),8,2.0,4.0,Medium,Campaign-driven sales spike: Sales are 4.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-04,	7295616354202386723;7481121574674874687,WEBBER NATURALS南非醉茄KSM66 7200mg降低皮质醇缓压促睡眠120粒-默认-(625273071597);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),6,2.0,3.0,Medium,Campaign-driven sales spike: Sales are 3.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-03,	7448836024085741839,Webber Naturals伟博天然阳光小金盾小颗粒深海儿童鱼油+D3 60粒-默认-(DYWEB625273071634),26,7.285714285714286,3.5686274509803924,Medium,Campaign-driven sales spike: Sales are 3.57x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-25,	7481121574674874687,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),18,3.5714285714285716,5.04,High,Campaign-driven sales spike: Sales are 5.04x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-26,	7481121574674874687,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),54,4.571428571428571,11.8125,High,Campaign-driven sales spike: Sales are 11.81x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-29,	7481121574674874687,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),30,7.428571428571429,4.038461538461538,Medium,Campaign-driven sales spike: Sales are 4.04x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-30,	7481121574674874687,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),42,10.571428571428571,3.9729729729729732,Medium,Campaign-driven sales spike: Sales are 3.97x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-31,	7481121574674874687,【官方直播】WebberNaturals伟博深海鱼油1100mg高纯度Omega3 120粒-一瓶装【4个月的量】-(625273090086*1);伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),46,12.285714285714286,3.744186046511628,Medium,Campaign-driven sales spike: Sales are 3.74x higher than the 7-day average.,CAMPAIGN_SPIKE
