sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,spike_ratio,anomaly_type
2025-03-10,	-,【漂亮开春专属】webber naturals伟博天然加拿大伟博天然进口肉桂精华维稳60粒/瓶-两瓶装,8,1.7142857142857142,4.666666666666667,SALES_SPIKE
2025-03-13,	-,Webber Naturals伟博天然进口小分子胶原蛋白多肽粉150g z-胶原蛋白多肽粉150g*1,49,2.857142857142857,17.15,SALES_SPIKE
2025-03-16,	-,Webber Naturals伟博天然进口小分子胶原蛋白多肽粉150g z-胶原蛋白多肽粉150g*1,5,1.1428571428571428,4.375,SALES_SPIKE
2025-03-17,	-,Webber Naturals伟博天然进口小分子胶原蛋白多肽粉150g z-胶原蛋白多肽粉150g*3,13,1.7142857142857142,7.583333333333334,SALES_SPIKE
2025-03-17,	-,Webber Naturals伟博天然进口小分子胶原蛋白多肽粉150g z-胶原蛋白多肽粉150g*1,38,3.4285714285714284,11.083333333333334,SALES_SPIKE
2025-03-19,	-,【官方直播】加拿大伟博儿童鱼油高脑力DHA无腥可嚼软胶囊120粒/瓶-2瓶装,7,1.4285714285714286,4.8999999999999995,SALES_SPIKE
2025-03-20,	-,Webber Naturals伟博天然进口小分子胶原蛋白多肽粉150g z-胶原蛋白多肽粉150g*1,6,1.4285714285714286,4.2,SALES_SPIKE
2025-03-22,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,9,1.7142857142857142,5.25,SALES_SPIKE
2025-03-23,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,6,1.7142857142857142,3.5,SALES_SPIKE
2025-03-23,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,14,1.8571428571428572,7.538461538461538,SALES_SPIKE
2025-03-23,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,15,4.142857142857143,3.6206896551724133,SALES_SPIKE
2025-03-24,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,9,2.857142857142857,3.15,SALES_SPIKE
2025-03-24,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,14,4.0,3.5,SALES_SPIKE
2025-03-25,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,13,2.857142857142857,4.55,SALES_SPIKE
2025-03-25,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,25,4.285714285714286,5.833333333333334,SALES_SPIKE
2025-03-26,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,47,1.1428571428571428,41.125,SALES_SPIKE
2025-03-26,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,24,7.714285714285714,3.111111111111111,SALES_SPIKE
2025-03-27,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,9,2.0,4.5,SALES_SPIKE
2025-03-27,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,29,3.0,9.666666666666666,SALES_SPIKE
2025-03-27,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,62,6.857142857142857,9.041666666666668,SALES_SPIKE
2025-03-28,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,60,1.8571428571428572,32.30769230769231,SALES_SPIKE
2025-03-28,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,45,10.571428571428571,4.256756756756757,SALES_SPIKE
2025-03-28,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,7,2.2857142857142856,3.0625,SALES_SPIKE
2025-03-29,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,45,2.4285714285714284,18.529411764705884,SALES_SPIKE
2025-03-29,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,40,8.714285714285714,4.59016393442623,SALES_SPIKE
2025-03-30,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,65,2.0,32.5,SALES_SPIKE
2025-03-30,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,43,11.0,3.909090909090909,SALES_SPIKE
2025-03-31,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,45,2.4285714285714284,18.529411764705884,SALES_SPIKE
2025-03-31,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,27,2.0,13.5,SALES_SPIKE
2025-04-01,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,39,2.0,19.5,SALES_SPIKE
2025-04-02,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,33,1.8571428571428572,17.76923076923077,SALES_SPIKE
2025-04-02,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,26,6.285714285714286,4.136363636363637,SALES_SPIKE
2025-04-03,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,9,2.7142857142857144,3.31578947368421,SALES_SPIKE
2025-04-03,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,21,1.8571428571428572,11.307692307692307,SALES_SPIKE
2025-04-04,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,13,3.142857142857143,4.136363636363637,SALES_SPIKE
2025-04-05,	-,【官方直播】WebberNaturals伟博深海鱼油1390mg高纯度Omega3 120粒-1瓶装,7,1.8571428571428572,3.769230769230769,SALES_SPIKE
2025-04-05,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,68,2.7142857142857144,25.052631578947366,SALES_SPIKE
2025-04-05,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,85,14.857142857142858,5.721153846153846,SALES_SPIKE
2025-04-06,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,25,1.8571428571428572,13.461538461538462,SALES_SPIKE
2025-04-06,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,17,2.4285714285714284,7.000000000000001,SALES_SPIKE
2025-04-06,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,46,4.714285714285714,9.757575757575758,SALES_SPIKE
2025-04-07,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-3瓶装,40,5.0,8.0,SALES_SPIKE
2025-04-07,	-,Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,58,6.714285714285714,8.638297872340425,SALES_SPIKE
2025-04-07,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,25,2.7142857142857144,9.210526315789473,SALES_SPIKE
2025-04-08,	-,【YY专属】Webber Naturals伟博维生素C1000毫克150粒/瓶（效期至25年9月）-1瓶装,29,8.714285714285714,3.3278688524590168,SALES_SPIKE
